Avl, B, Rubro
0, 0, 0
1, 6, 3
3, 19, 8
10, 41, 21
17, 72, 38
28, 117, 62
46, 171, 95
64, 241, 134
84, 329, 180
115, 441, 236
146, 562, 309
172, 694, 369
210, 848, 446
249, 1018, 534
286, 1204, 620
332, 1424, 726
387, 1644, 841
442, 1895, 968
504, 2162, 1109
562, 2452, 1254
639, 2748, 1414
715, 3094, 1587
790, 3441, 1775
865, 3794, 1954
950, 4196, 2163
1033, 4609, 2354
1132, 5030, 2572
1230, 5476, 2782
1340, 5943, 3022
1459, 6422, 3266
1566, 6928, 3513
1684, 7452, 3778
1804, 7987, 4050
1935, 8580, 4352
2065, 9143, 4647
2208, 9756, 4986
2342, 10402, 5292
2495, 11063, 5639
2655, 11736, 5993
2815, 12430, 6357
2987, 13126, 6749
3148, 13879, 7129
3323, 14649, 7496
3499, 15448, 7895
3685, 16250, 8319
3870, 17064, 8775
4069, 17927, 9231
4263, 18780, 9672
4470, 19681, 10145
4680, 20580, 10611
4884, 21471, 11084
5101, 22429, 11616
5328, 23405, 12117
5556, 24403, 12625
5795, 25419, 13185
6035, 26455, 13717
6285, 27547, 14282
6538, 28629, 14860
6783, 29712, 15421
7046, 30877, 15989
7310, 32033, 16595
7595, 33168, 17219
7865, 34357, 17840
8150, 35580, 18495
8428, 36784, 19150
8721, 38075, 19826
9033, 39390, 20517
9326, 40715, 21221
9618, 42077, 21960
9925, 43421, 22650
10250, 44791, 23389
10564, 46230, 24193
10891, 47695, 24948
11228, 49121, 25694
11552, 50591, 26442
11895, 52115, 27235
12237, 53684, 28068
12601, 55268, 28917
12966, 56820, 29759
13329, 58419, 30622
13702, 60084, 31486
14072, 61753, 32324
14449, 63468, 33213
14847, 65222, 34160
15226, 66978, 35032
15635, 68801, 35964
16021, 70621, 36899
16427, 72484, 37827
16866, 74312, 38767
17280, 76136, 39727
17719, 78081, 40704
18143, 80026, 41709
18589, 81974, 42713
19029, 83934, 43753
19469, 85976, 44806
19923, 88025, 45883
20374, 90106, 46889
20823, 92142, 48014
21293, 94239, 49085
21769, 96343, 50215
22245, 98493, 51318
22724, 100658, 52434
23186, 102874, 53536
23670, 105111, 54675
24178, 107384, 55820
24689, 109646, 57031
25204, 111949, 58264
25725, 114302, 59483
26250, 116683, 60772
26755, 119068, 61994
27298, 121492, 63303
27851, 123919, 64504
28411, 126428, 65804
28970, 128921, 67148
29529, 131410, 68459
30099, 133940, 69770
30689, 136509, 71154
31285, 139112, 72545
31858, 141770, 74001
32442, 144408, 75369
