Avl, B, Rubro
1, 6, 3 
2, 14, 6 
5, 23, 13 
7, 35, 19 
10, 48, 28 
14, 62, 36 
17, 77, 47 
20, 95, 59 
23, 121, 70 
27, 138, 81 
30, 156, 94 
35, 175, 108 
38, 197, 121 
42, 229, 134 
45, 246, 149 
49, 264, 165 
52, 283, 180 
56, 305, 197 
59, 338, 212 
64, 356, 228 
67, 375, 243 
71, 395, 259 
74, 418, 276 
80, 454, 294 
83, 472, 311 
87, 491, 330 
90, 511, 347 
95, 534, 365 
98, 571, 382 
102, 589, 400 
105, 608, 419 
110, 628, 439 
113, 651, 458 
117, 689, 479 
120, 707, 498 
125, 726, 518 
128, 746, 537 
132, 769, 559 
135, 808, 578 
141, 827, 598 
144, 847, 617 
148, 868, 638 
151, 892, 657 
156, 934, 677 
159, 953, 696 
163, 973, 717 
166, 994, 738 
173, 1018, 760 
176, 1068, 781 
180, 1090, 804 
183, 1113, 825 
188, 1137, 847 
191, 1164, 868 
195, 1205, 892 
198, 1227, 913 
204, 1250, 935 
207, 1274, 956 
211, 1301, 979 
214, 1343, 1000 
219, 1365, 1022 
222, 1388, 1043 
226, 1412, 1066 
229, 1439, 1089 
235, 1482, 1113 
238, 1505, 1136 
242, 1529, 1161 
245, 1554, 1184 
250, 1582, 1208 
253, 1628, 1231 
257, 1651, 1257 
260, 1675, 1280 
266, 1700, 1304 
269, 1728, 1327 
273, 1784, 1352 
276, 1806, 1375 
281, 1829, 1399 
284, 1853, 1422 
288, 1880, 1449 
291, 1921, 1472 
298, 1943, 1496 
301, 1966, 1519 
305, 1990, 1544 
308, 2017, 1567 
313, 2059, 1591 
316, 2081, 1614 
320, 2104, 1640 
323, 2128, 1663 
329, 2155, 1687 
332, 2198, 1710 
336, 2221, 1735 
339, 2245, 1758 
344, 2270, 1782 
347, 2298, 1805 
351, 2344, 1831 
354, 2367, 1856 
362, 2391, 1882 
365, 2416, 1907 
369, 2444, 1934 
372, 2501, 1959 
377, 2524, 1985 
380, 2548, 2010 
384, 2573, 2038 
387, 2601, 2063 
393, 2643, 2089 
396, 2666, 2114 
400, 2690, 2141 
403, 2715, 2166 
408, 2743, 2192 
411, 2786, 2217 
415, 2809, 2246 
418, 2833, 2271 
425, 2858, 2297 
428, 2886, 2322 
432, 2930, 2349 
435, 2954, 2374 
440, 2979, 2400 
443, 3005, 2425 
447, 3034, 2453 
450, 3081, 2478 
456, 3105, 2504 
459, 3130, 2529 
463, 3156, 2556 
466, 3185, 2581 
471, 3245, 2607 
474, 3268, 2632 
478, 3292, 2660 
481, 3317, 2687 
488, 3345, 2715 
491, 3387, 2742 
495, 3410, 2771 
498, 3434, 2798 
503, 3459, 2826 
506, 3487, 2853 
510, 3530, 2883 
513, 3553, 2910 
519, 3577, 2938 
522, 3602, 2965 
526, 3630, 2994 
529, 3674, 3021 
534, 3698, 3049 
537, 3723, 3076 
541, 3749, 3107 
544, 3778, 3134 
551, 3825, 3162 
554, 3849, 3189 
558, 3874, 3218 
561, 3900, 3245 
566, 3929, 3273 
569, 3990, 3300 
573, 4013, 3330 
576, 4037, 3357 
582, 4062, 3385 
585, 4090, 3412 
589, 4132, 3441 
592, 4155, 3468 
597, 4179, 3496 
600, 4204, 3523 
604, 4232, 3555 
607, 4275, 3582 
615, 4298, 3610 
618, 4322, 3637 
622, 4347, 3666 
625, 4375, 3693 
630, 4419, 3721 
633, 4443, 3748 
637, 4468, 3778 
640, 4494, 3805 
646, 4523, 3833 
649, 4570, 3860 
653, 4594, 3889 
656, 4619, 3916 
661, 4645, 3944 
664, 4674, 3971 
668, 4736, 4002 
671, 4759, 4029 
678, 4783, 4057 
681, 4808, 4084 
685, 4836, 4113 
688, 4878, 4140 
693, 4901, 4168 
696, 4925, 4195 
700, 4950, 4225 
703, 4978, 4252 
709, 5021, 4280 
712, 5044, 4307 
716, 5068, 4336 
719, 5093, 4363 
724, 5121, 4391 
727, 5165, 4418 
731, 5189, 4449 
734, 5214, 4478 
743, 5240, 4508 
746, 5269, 4537 
750, 5316, 4568 
753, 5340, 4597 
758, 5365, 4627 
761, 5391, 4656 
765, 5420, 4688 
768, 5483, 4717 
774, 5507, 4747 
777, 5532, 4776 
781, 5558, 4807 
784, 5587, 4836 
789, 5630, 4866 
792, 5654, 4895 
796, 5679, 4928 
799, 5705, 4957 
806, 5734, 4987 
809, 5778, 5016 
813, 5802, 5047 
816, 5827, 5076 
821, 5853, 5106 
824, 5882, 5135 
828, 5927, 5167 
831, 5952, 5196 
837, 5978, 5226 
840, 6005, 5255 
844, 6035, 5286 
847, 6083, 5315 
852, 6108, 5345 
855, 6134, 5374 
859, 6161, 5408 
862, 6191, 5437 
870, 6257, 5467 
873, 6281, 5496 
877, 6306, 5527 
880, 6332, 5556 
885, 6361, 5586 
888, 6404, 5615 
892, 6428, 5647 
895, 6453, 5676 
901, 6479, 5706 
904, 6508, 5735 
908, 6552, 5766 
911, 6576, 5795 
916, 6601, 5825 
919, 6627, 5854 
923, 6656, 5887 
926, 6701, 5916 
933, 6726, 5946 
936, 6752, 5975 
940, 6779, 6006 
943, 6809, 6035 
948, 6857, 6065 
951, 6882, 6094 
955, 6908, 6126 
958, 6935, 6155 
964, 6965, 6185 
967, 7039, 6214 
971, 7066, 6245 
974, 7094, 6274 
979, 7123, 6304 
982, 7155, 6333 
986, 7201, 6366 
989, 7228, 6397 
997, 7256, 6429 
1000, 7285, 6460 
1004, 7317, 6493 
1007, 7364, 6524 
1012, 7391, 6556 
1015, 7419, 6587 
1019, 7448, 6621 
1022, 7480, 6652 
1028, 7528, 6684 
1031, 7556, 6715 
1035, 7585, 6748 
1038, 7615, 6779 
1043, 7648, 6811 
1046, 7699, 6842 
1050, 7727, 6877 
1053, 7756, 6908 
1060, 7786, 6940 
1063, 7819, 6971 
1067, 7884, 7004 
1070, 7911, 7035 
1075, 7939, 7067 
1078, 7968, 7098 
1082, 8000, 7132 
1085, 8046, 7163 
1091, 8073, 7195 
1094, 8101, 7226 
1098, 8130, 7259 
1101, 8162, 7290 
1106, 8209, 7322 
1109, 8236, 7353 
1113, 8264, 7389 
1116, 8293, 7420 
1124, 8325, 7452 
1127, 8373, 7483 
1131, 8401, 7516 
1134, 8430, 7547 
1139, 8460, 7579 
1142, 8493, 7610 
1146, 8544, 7644 
1149, 8572, 7675 
1155, 8601, 7707 
1158, 8631, 7738 
1162, 8664, 7771 
1165, 8730, 7802 
1170, 8757, 7834 
1173, 8785, 7865 
1177, 8814, 7900 
1180, 8846, 7931 
1187, 8892, 7963 
1190, 8919, 7994 
1194, 8947, 8027 
1197, 8976, 8058 
1202, 9008, 8090 
1205, 9055, 8121 
1209, 9082, 8155 
1212, 9110, 8186 
1218, 9139, 8218 
1221, 9171, 8249 
1225, 9219, 8282 
1228, 9247, 8313 
1233, 9276, 8345 
1236, 9306, 8376 
1240, 9339, 8413 
1243, 9390, 8444 
1252, 9418, 8476 
1255, 9447, 8507 
1259, 9477, 8540 
1262, 9510, 8571 
1267, 9577, 8603 
1270, 9605, 8634 
1274, 9634, 8668 
1277, 9664, 8699 
1283, 9697, 8731 
1286, 9744, 8762 
1290, 9772, 8795 
1293, 9801, 8826 
1298, 9831, 8858 
1301, 9864, 8889 
1305, 9912, 8924 
1308, 9940, 8955 
1315, 9969, 8987 
1318, 9999, 9018 
1322, 10032, 9051 
1325, 10081, 9082 
1330, 10110, 9114 
